# x y z vx vy vz lxvel lyvel lzvel Potential U rho
0.028195 0.291660 -0.149916 -72.432335 -16.817131 45.072346 46.617043 -6.205574 71.313309 -162323.562500 2084.667969 0.073119
-0.109637 0.384686 -0.058706 -70.986450 -8.140465 13.932491 15.477188 2.471092 69.867424 -160505.765625 1406.057373 0.027686
0.280163 0.047259 -0.234393 -43.636917 71.710938 -9.926302 -8.381605 82.322495 42.517887 -161178.921875 1191.499512 0.018981
-0.070312 0.330924 -0.032832 -83.459229 -0.851665 37.962139 39.506836 9.759892 82.340202 -162154.531250 1510.690186 0.032782
-0.099323 -0.332414 0.066261 76.830536 0.497841 -40.524193 -38.979496 11.109398 -77.949562 -161345.234375 1155.236328 0.017724
0.139209 0.236610 -0.217821 -68.679680 28.759235 36.223873 37.768570 39.370792 67.560654 -161651.109375 1816.659302 0.051412
-0.093957 -0.362112 0.012504 73.280739 12.078468 -25.600189 -24.055492 22.690025 -74.399765 -160693.125000 1228.933838 0.020342
0.056293 0.299663 -0.175472 -71.887909 -3.443928 41.176441 42.721138 7.167629 70.768883 -161787.234375 2007.768066 0.066309
0.014927 0.377554 -0.070141 -65.367485 -33.958138 27.706821 29.251518 -23.346581 64.248459 -161113.578125 1672.490479 0.041896
-0.366509 0.244389 0.005387 -60.108643 1.253143 38.820919 40.365616 11.864700 58.989613 -159466.671875 595.744141 0.004761
0.038509 0.251005 -0.027932 -102.985939 27.093496 35.291546 36.836243 37.705055 101.866913 -163815.093750 1195.834595 0.019136
0.134690 0.182661 -0.278756 -64.079338 44.779057 18.860622 20.405319 55.390614 62.960308 -161067.515625 1562.222534 0.035515
0.152224 0.261353 -0.200232 -71.041878 22.538708 35.930386 37.475082 33.150265 69.922852 -161654.343750 1922.390381 0.059312
-0.017481 0.257694 -0.210614 -80.422371 0.251694 30.194042 31.738739 10.863251 79.303345 -161560.484375 1630.465332 0.039377
0.104433 0.303237 -0.180321 -67.441216 2.329491 40.424503 41.969200 12.941048 66.322189 -161491.375000 2108.099609 0.075294
-0.060972 0.409941 -0.100293 -53.781948 -22.349274 26.137463 27.682159 -11.737717 52.662918 -160079.296875 1764.356689 0.047798
0.106939 -0.355338 -0.247748 33.636677 6.116028 -0.009060 1.535637 16.727585 -34.755707 -157368.625000 483.046021 0.003324
-0.034375 -0.344187 0.033477 74.108566 7.055218 -49.313362 -47.768661 17.666775 -75.227592 -161411.328125 1144.815308 0.017373
0.058116 0.348376 -0.101554 -69.903793 -27.578232 34.466671 36.011368 -16.966675 68.784767 -161488.687500 1782.703735 0.049044
0.082026 0.329765 -0.120276 -69.760536 -20.716309 38.067516 39.612213 -10.104752 68.641510 -161491.093750 1873.357788 0.055546
0.079611 0.094419 -0.289104 -28.334454 43.647648 -72.826500 -71.281799 54.259205 27.215424 -161036.906250 864.893005 0.009616
0.171479 0.097785 -0.336971 -32.618023 57.854877 5.412254 6.956951 68.466431 31.498993 -159496.750000 1109.937866 0.016234
