x,y,z,vx,vy,vz,lxvel,lyvel,lzvel,Potential,U,rho,Rs,Zs,rho_sph_log,deltaRho,rho_resta1,rho_resta_final,rho_resta_final_exp
0.11264833773010165,-1.0100656533682073,-0.5692829312850521,53.3111476830799,33.22386266800373,-48.81312264624282,-31.159340000000004,-25.28656,-70.202148,-710363.9375,354.669098,0.002008,1.016327836924434,-0.5692829312850521,-2.6972362915270183,0.6922250537833663,-4.7020366751266724,-4.7020366751266724,1.985927203489925e-05
-0.7447221196199505,-0.8231830264385385,0.285779412981861,38.03488674015032,-58.87497721641201,-44.168901089035856,5.103439,-88.400879,-11.561523,-710751.25,314.820465,0.0016530000000000002,1.1100636605473324,0.285779412981861,-2.7817271464285525,0.3331215003708108,-4.789470109122933,-4.789470109122933,1.62379010608195e-05
-0.08087858544505512,-1.0841833712079785,-0.3108398442454081,54.51178170206408,26.821770613313202,-58.71674394712421,-36.87149,-35.576263,-68.786743,-710672.1875,377.244415,0.00222,1.087195901384608,-0.3108398442454081,-2.653647025549361,0.8055097920886709,-4.660672117663907,-4.660672117663907,2.184378444902519e-05
-1.0966199597004165,-0.21538231126287646,0.27278169211792525,18.12195025667684,-95.66659909883026,19.595551074428453,69.39711,-77.836395,28.071411,-711893.5,277.256012,0.001333,1.117570971356308,0.27278169211792525,-2.8751698505861407,0.0729648781976433,-4.883148484713174,-4.883148484713174,1.3087343919282718e-05
0.2749623037900585,-0.9985171839837066,-0.5947190983461957,57.123955053769706,52.35382648632779,-50.14740576982032,-38.826286,-12.612579,-82.96386700000002,-711154.0,320.822418,0.001705,1.035683752511493,-0.5947190983461957,-2.7682756166714837,0.42328383074953435,-4.773683626153797,-4.773683626153797,1.6839002981927967e-05
0.2160720444140315,-0.9753674720227912,-0.6717444572012565,59.06532307361695,46.884117654834434,-43.25782788292864,-30.090042,-14.260986,-81.51001,-710510.25,304.6104430000001,0.001564,0.9990139307624241,-0.6717444572012565,-2.8057632512761708,0.327385726198405,-4.810020112278473,-4.810020112278473,1.548744894515406e-05
-1.1723246864147916,-0.25943264922655235,0.3029596102102601,38.02957791233054,-62.257243557590634,23.336751756283803,65.152893,-58.009552,-5.325867,-709695.1875,292.168518,0.001459,1.2006874988364986,0.3029596102102601,-2.8359447081065485,0.19393078817263132,-4.846532557651301,-4.846532557651301,1.4238605004330457e-05
-0.7857737203541273,-0.9226887436627976,0.09839615292684033,66.48280838574878,-22.037816892733492,-37.31121590853588,4.696075,-67.791351,-53.850647,-709762.4375,296.554657,0.0014960000000000002,1.2119384709139314,0.09839615292684033,-2.825068406471557,0.2313884633406893,-4.836009449426799,-4.836009449426799,1.4587825195805584e-05
-0.4088061248915265,-1.0552971534458755,-0.13352084418623975,70.06770577870445,7.831313028624655,-59.65015335606896,-25.580566,-56.965271,-73.09033199999998,-710537.8125,288.900818,0.001431,1.1317130951879077,-0.13352084418623975,-2.8443603662402235,0.14924553970731647,-4.852782953557547,-4.852782953557547,1.4035149610433622e-05
-1.1983818807714155,-0.17155676183068158,0.3656480268248897,9.19091068980332,-88.59495968217735,12.116806113093725,57.47099300000001,-72.449127,31.872498,-710163.0,270.470612,0.001276,1.2105993782796456,0.3656480268248897,-2.8941493256148565,0.04956702281770253,-4.905048331429555,-4.905048331429555,1.2443761208947982e-05
