limit_theta,limit_r,selected_theta,selected_r,selected_x,selected_y,source
,,-237.1666814583402,3.549049588352765,-1.9242837681034144,2.9820940562632585,theta1
,,-227.47473321378726,3.558026632335312,-2.4049245419040326,2.622192110459308,theta1
,,-222.4461919907043,3.662277805306206,-2.702436822840898,2.4716621819722926,theta1
,,-231.04888065956644,3.5093584309851478,-2.206183293352841,2.7291668826323816,theta1
,,-231.97752128010896,3.5187214911952043,-2.167428940175906,2.7719402450065465,theta1
,,-253.5804723469017,3.72941383438211,-1.0541874250702743,3.577319725842852,theta1
,,-190.4228546993977,3.599239361495655,-3.5398496996804933,0.6511436746307011,theta1
,,-234.80925379931136,3.5964053920193826,-2.0726096220717847,2.9391191024253414,theta1
,,-230.02972882380575,3.578630547561448,-2.298876652338536,2.7425832226703197,theta1
,,-229.4377088305124,3.573347973841407,-2.323656592025612,2.7146704743840293,theta1
,,-262.51815399891007,3.815457458859046,-0.4968185346987287,3.782973296752561,theta1
,,-259.4234176078737,3.802595976308326,-0.6979649531763097,3.737991584149684,theta1
,,-214.32569809395613,3.669073432934491,-3.030087639803288,2.06897770683423,theta1
,,-222.53901403743689,3.6699566831407933,-2.7040869899021693,2.481228648708458,theta1
,,-226.5941605930783,3.687940547566815,-2.534210970476192,2.6793059249562257,theta1
,,-205.85867962942376,3.6404457704385442,-3.275937241120078,1.587791107087598,theta1
,,-243.86321964717257,3.642026421255354,-1.604369299122568,3.2696109256538524,theta1
,,-247.8801769248608,3.744868924009828,-1.4101109165449748,3.469240617347724,theta1
,,-198.3813769435273,3.706700552859865,-3.51757934588396,1.1688731898637252,theta1
,,-260.5018239475976,3.759827640927692,-0.6204325018019212,3.708283619168267,theta1
,,-250.229378235035,3.7838048327126717,-1.2798925761769804,3.5607659296149783,theta1
,,-189.00773212544627,3.5099201998024347,-3.4666331282896232,0.5495403195636007,theta1
,,-238.42223685566515,3.6562732329376577,-1.9146268781987203,3.1148897044960377,theta1
,,-251.39255849447142,3.726755384766762,-1.189142058367655,3.5319466109936024,theta1
,,-261.5689757255955,3.988301020555542,-0.5847594074886976,3.945199800506667,theta1
,,-203.0926957903851,3.706618211762341,-3.409612476496522,1.4538092474212398,theta1
,,-210.51057281853593,3.7605793122982045,-3.2398725385002813,1.9092361557327,theta1
